Strike,Moneyness,Bid,Mid,Ask,Last,Change,%Chg,Volume,Open Int,OI Chg,Delta,IV,Type,Time
"2,600.00",57.03%,"3,449.90","3,461.35","3,472.80",0,unch,unch,0,0,unch,0.9886,138.34%,Call,N/A
"2,800.00",53.73%,"3,251.10","3,262.45","3,273.80",0,unch,unch,0,0,unch,0.99999,64.19%,Call,N/A
"3,000.00",50.42%,"3,052.30","3,063.55","3,074.80",0,unch,unch,0,0,unch,0.99925,77.91%,Call,N/A
"3,200.00",47.12%,"2,853.60","2,864.70","2,875.80",0,unch,unch,0,0,unch,0.99843,76.20%,Call,N/A
"3,400.00",43.81%,"2,654.80","2,665.80","2,676.80",0,unch,unch,0,0,unch,0.99765,72.05%,Call,N/A
"3,600.00",40.51%,"2,456.60","2,467.25","2,477.90",0,unch,unch,0,0,unch,0.99606,69.16%,Call,N/A
"3,800.00",37.20%,"2,257.90","2,268.45","2,279.00",0,unch,unch,0,0,unch,0.99482,64.20%,Call,N/A
"4,000.00",33.90%,"2,059.20","2,069.65","2,080.10",0,unch,unch,0,0,unch,0.99338,59.06%,Call,N/A
"4,200.00",30.59%,"1,860.70","1,871.05","1,881.40",0,unch,unch,0,0,unch,0.99123,54.33%,Call,N/A
"4,400.00",27.29%,"1,661.90","1,672.30","1,682.70",0,unch,unch,0,0,unch,0.98905,49.09%,Call,N/A
"4,600.00",23.98%,"1,463.50","1,473.80","1,484.10",0,unch,unch,0,0,unch,0.98576,44.21%,Call,N/A
"4,700.00",22.33%,"1,364.00","1,374.45","1,384.90",0,unch,unch,0,0,unch,0.98411,41.57%,Call,N/A
"4,800.00",20.68%,"1,265.10","1,275.40","1,285.70",0,unch,unch,0,0,unch,0.98141,39.29%,Call,N/A
"4,900.00",19.02%,"1,166.00","1,176.25","1,186.50",0,unch,unch,0,0,unch,0.97868,36.81%,Call,N/A
"5,000.00",17.37%,"1,067.00","1,077.20","1,087.40","1,091.71",unch,unch,0,1,unch,0.97528,34.38%,Call,2012/9/24
"5,100.00",15.72%,968.1,978.2,988.3,0,unch,unch,0,0,unch,0.97123,31.92%,Call,N/A
"5,200.00",14.07%,868.9,879.15,889.4,0,unch,unch,0,0,unch,0.96669,29.35%,Call,N/A
"5,300.00",12.41%,770.1,780.3,790.5,0,unch,unch,0,0,unch,0.96062,26.84%,Call,N/A
"5,400.00",10.76%,671.8,681.65,691.5,0,unch,unch,0,0,unch,0.95261,24.35%,Call,N/A
"5,450.00",9.94%,623.3,633,642.7,654.4,654.4,unch,1,0,unch,0.94547,23.41%,Call,2012/12/24
"5,500.00",9.11%,573.5,583.4,593.3,0,unch,unch,0,0,unch,0.94126,21.93%,Call,N/A
"5,550.00",8.28%,524.7,534.55,544.4,0,unch,unch,0,0,unch,0.93353,20.76%,Call,N/A
"5,600.00",7.46%,476,485.7,495.4,0,unch,unch,0,0,unch,0.92487,19.53%,Call,N/A
"5,650.00",6.63%,427.7,437.4,447.1,0,unch,unch,0,0,unch,0.91285,18.42%,Call,N/A
"5,675.00",6.22%,403.9,413.5,423.1,0,unch,unch,0,0,unch,0.90529,17.92%,Call,N/A
"5,700.00",5.80%,380.1,389.55,399,0,unch,unch,0,0,unch,0.89748,17.36%,Call,N/A
"5,725.00",5.39%,356.2,365.7,375.2,0,unch,unch,0,0,unch,0.88875,16.80%,Call,N/A
"5,750.00",4.98%,332.8,342.15,351.5,0,unch,unch,0,0,unch,0.87826,16.28%,Call,N/A
"5,775.00",4.57%,309.5,318.75,328,0,unch,unch,0,0,unch,0.8665,15.77%,Call,N/A
"5,800.00",4.15%,286.3,295.5,304.7,0,unch,unch,0,0,unch,0.85337,15.24%,Call,N/A
"5,825.00",3.74%,263.3,272.5,281.7,0,unch,unch,0,0,unch,0.83836,14.73%,Call,N/A
"5,850.00",3.33%,240.6,249.75,258.9,265.27,265.27,unch,3,0,unch,0.82135,14.21%,Call,2012/12/24
"5,860.00",3.16%,231.6,240.75,249.9,0,unch,unch,0,0,unch,0.81384,14.00%,Call,N/A
